"Entity","Total_Deaths"
"Afghanistan",7079.59142028829
"Albania",1660.15782792715
"Algeria",1503.04874404139
"American Samoa",1972.77162622383
"Andean Latin America",1514.5451921068
"Andorra",592.20709856119
"Angola",4591.18012876001
"Antigua and Barbuda",1163.03162862302
"Argentina",1127.78220843488
"Armenia",2504.25874337695
"Australasia",489.227935016616
"Australia",497.508121005308
"Austria",744.101622722702
"Azerbaijan",2948.76709253285
"Bahamas",1113.43129441408
"Bahrain",2898.5464358566
"Bangladesh",4046.38457248874
"Barbados",1228.89911893336
"Belarus",2012.81990950463
"Belgium",821.202172681948
"Belize",1675.19670934864
"Benin",4017.1256477648
"Bermuda",755.011168566612
"Bhutan",3245.10123393963
"Bolivia",2481.33963555541
"Bosnia and Herzegovina",2037.83319698535
"Botswana",2324.07868669385
"Brazil",1356.01976961325
"Brunei",917.845715278435
"Bulgaria",2006.93294954022
"Burkina Faso",4390.28447406724
"Burundi",5386.16132019131
"Cambodia",4555.02671841429
"Cameroon",4190.79433934404
"Canada",509.191654979696
"Cape Verde",1810.96780117471
"Caribbean",1617.8399941359
"Central African Republic",6267.14923287451
"Central Asia",2854.99737189858
"Central Europe",1654.67369335683
"Central Europe, Eastern Europe, and Central Asia",2007.98380250147
"Central Latin America",1383.58045934407
"Central Sub-Saharan Africa",4704.98134117336
"Chad",4998.97534416026
"Chile",1022.36998364101
"China",3415.78371253501
"Colombia",1069.98495580847
"Comoros",3785.73770427736
"Congo",4482.08702854714
"Costa Rica",803.051703982012
"Cote d'Ivoire",4210.07864982623
"Croatia",1378.5379377748
"Cuba",1181.67660579798
"Cyprus",1136.78662733169
"Czech Republic",1283.42766266284
"Democratic Republic of Congo",4728.00713165203
"Denmark",827.568221357719
"Djibouti",3192.26658419805
"Dominica",1259.8392957107
"Dominican Republic",1067.87437550821
"East Asia",3388.72080243141
"Eastern Europe",1960.58101372767
"Eastern Sub-Saharan Africa",4058.14431023907
"Ecuador",1043.07313785874
"Egypt",3390.27639702343
"El Salvador",1586.15669651735
"England",796.490223527547
"Equatorial Guinea",4097.67441427406
"Eritrea",5171.49331825155
"Estonia",1041.32332037512
"Ethiopia",3872.20668103605
"Fiji",3469.43314612728
"Finland",465.667121498116
"France",523.206645911889
"Gabon",2717.82732703568
"Gambia",4202.21428101632
"Georgia",2366.89136271044
"Germany",787.076707542702
"Ghana",3497.23510498081
"Greece",919.706596128988
"Greenland",1402.31747431066
"Grenada",1716.51026290627
"Guam",1303.38166817834
"Guatemala",2881.30656095042
"Guinea",5108.79787053952
"Guinea-Bissau",5747.53924882339
"Guyana",2158.66127422633
"Haiti",4368.54244251952
"High SDI",750.017038832305
"High-income",690.372379996878
"High-income Asia Pacific",558.20258147995
"High-middle SDI",2272.13655477368
"Honduras",1853.30555837659
"Hungary",1604.05870181584
"Iceland",462.177001691712
"India",4645.58270898897
"Indonesia",2376.59426204871
"Iran",1522.02183252027
"Iraq",2600.49363641259
"Ireland",798.795558047719
"Israel",919.492067063325
"Italy",700.791883161183
"Jamaica",1204.31189082238
"Japan",481.109797020551
"Jordan",1665.40567102709
"Kazakhstan",2263.62105884557
"Kenya",3200.80421614449
"Kiribati",4890.79669990829
"Kuwait",1226.97597892607
"Kyrgyzstan",3108.50104727634
"Laos",5424.90987789928
"Latin America and Caribbean",1409.42193672892
"Latvia",1507.81776277743
"Lebanon",1623.33672116371
"Lesotho",4472.59560177862
"Liberia",4073.14473146583
"Libya",1886.40663659537
"Lithuania",1302.36131883782
"Low SDI",5044.60812932253
"Low-middle SDI",3906.23191198872
"Luxembourg",712.788024307059
"Macedonia",1973.65018833009
"Madagascar",5217.82945542896
"Malawi",4137.60678838282
"Malaysia",1779.24589402257
"Maldives",1971.71945203638
"Mali",3661.66641122744
"Malta",923.228007907871
"Marshall Islands",3475.86548107541
"Mauritania",3104.8259450334
"Mauritius",1689.57278017739
